"Average time all patients waited for first assessment by a doctor in emergency, by hospital,  201807 to 201907"
Average Time

Hospital Name: Chatham-Kent Health Alliance - Wallaceburg
"Month",Ontario (Hours),Chatham-Kent Health Alliance - Wallaceburg (Hours)
"201807","1.5","1.4"
"201808","1.5","1.7"
"201809","1.5","1.4"
"201810","1.5","1.5"
"201811","1.5","1.4"
"201812","1.6","1.7"
"201901","1.6","1.8"
"201902","1.6","1.9"
"201903","1.6","1.7"
"201904","1.6","1.8"
"201905","1.6","1.6"
"201906","1.6","1.6"
"201907","1.6","1.8"

TECHNICAL INFORMATION
"Data source: National Ambulatory Care Reporting System (NACRS), Canadian Institute for Health Information (CIHI) provided by Cancer Care Ontario (CCO). For more information, please visit the Indicator Library for the technical description of Wait Time to First Assessment in Emergency indicator (average time and volume) and Length of Stay in Emergency indicators (average time, volume, and percentage within target). " 

http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Average-time-PIA/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Volume-PIA/EN 
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Average-time-ED/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Volume-ED/EN
http://indicatorlibrary.hqontario.ca/Indicator/Detailed/Percentage-within-target-ED/EN
